matchedPattern,count
B9EKE5,1
O60481,1
P09914,1
P82650,1
P07658,1
Q04695,1
P50454,1
Q86W78,1
P11413,1
Q13573,1
Q9HGZ6,1
P07203,1
Q9UBG0,1
B8NM72,1
Q9Y4E8,1
P16157,1
Q01813,1
Q96FV2,1
P19256,1
Q9BS40,1
P20742,1
Q7Z7H3,1
Q9NZ74,1
Q99684,1
Q13485,1
P48147,1
P14780,1
Q9UK13,1
Q9ULA0,1
P01270,1
P03956,1
P09238,1
D7AA36,1
P35613,1
F7CRL9,1
P49840,1
O00257,1
O43787,1
P97430,1
P07686,1
Q9NQW7,1
Q13315,1
P28065,1
P35520,1
Q9BSL1,1
P12955,1
P70269,1
O95630,1
P30511,1
P04070,1
Q9C086,1
P05362,1
P52888,1
Q13867,1
P01042,1
P20810,1
Q8N2W9,1
P30153,1
A6NCM1,1
Q9Y458,1
Q8IV08,1
P07758,1
P67812,1
P50228,1
E1BGR4,1
P29590,1
P04004,1
Q9GZV9,1
P14209,1
Q15125,1
P13639,1
Q5VVQ6,1
O14625,1
Q93008,1
P48735,1
O15484,1
P51784,1
P01375,1
P04921,1
Q09666,1
Q9UP52,1
P33434,1
P62857,1
Q13426,1
P55212,1
Q07973,1
P54578,1
P09960,1
P28482,1
P60484,1
P02786,1
Q9BQ52,1
P49327,1
Q9NY33,1
Q12765,1
Q9Y2W7,1
P00918,1
P12931,1
Q08499,1
P17182,1
